z,ds,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.240406,0.257470,0.000000,0.000000,0.048267,-0.126722,0.179642
0.240435,0.257500,0.000000,0.000000,0.048297,-0.147032,0.199094
0.240425,0.257489,0.000000,0.000000,0.048256,-0.132443,0.199094
0.240464,0.257528,0.000000,0.000000,0.048322,-0.147032,0.179642
0.240480,0.257544,0.000000,0.000000,0.048318,-0.121573,0.179642
0.240497,0.257513,0.000000,0.000000,0.048335,-0.126722,0.162479
0.240480,0.257497,0.000000,0.000000,0.048332,-0.126722,0.181931
0.240468,0.257485,0.000000,0.000000,0.048308,-0.147032,0.179642
0.240483,0.257500,0.000000,0.000000,0.048316,-0.152753,0.179642
0.240484,0.257500,0.000000,0.000000,0.048316,-0.173349,0.179642
0.240448,0.257465,0.000000,0.000000,0.048290,-0.126722,0.181931
0.240458,0.257474,0.000000,0.000000,0.048294,-0.126722,0.181931
0.240489,0.257505,0.000000,0.000000,0.048324,-0.106412,0.181931
0.240484,0.257500,0.000000,0.000000,0.048324,-0.132443,0.196805
0.240507,0.257524,0.000000,0.000000,0.048353,-0.147032,0.181931
0.240521,0.257537,0.000000,0.000000,0.048348,-0.147032,0.179642
0.240500,0.257517,0.000000,0.000000,0.048339,-0.152753,0.183933
0.240520,0.257536,0.000000,0.000000,0.048365,-0.126722,0.181931
0.240532,0.257549,0.000000,0.000000,0.048377,-0.126722,0.162479
0.240543,0.257559,0.000000,0.000000,0.048392,-0.132443,0.181931
0.240529,0.257545,0.000000,0.000000,0.048359,-0.147032,0.199094
0.240536,0.257553,0.000000,0.000000,0.048360,-0.152753,0.181931
0.240551,0.257567,0.000000,0.000000,0.048400,-0.121573,0.181931
0.240552,0.257569,0.000000,0.000000,0.048404,-0.152753,0.145316
0.240546,0.257562,0.000000,0.000000,0.048382,-0.132443,0.181931
0.240547,0.257563,0.000000,0.000000,0.048377,-0.147032,0.215971
0.240559,0.257575,0.000000,0.000000,0.048406,-0.126722,0.181931
0.240579,0.257595,0.000000,0.000000,0.048421,-0.126722,0.145316
0.240559,0.257575,0.000000,0.000000,0.048396,-0.152753,0.201096
0.240540,0.257556,0.000000,0.000000,0.048384,-0.132443,0.196805
0.240528,0.257544,0.000000,0.000000,0.048372,-0.147032,0.181931
0.240557,0.257574,0.000000,0.000000,0.048381,-0.147032,0.181931
0.240560,0.257576,0.000000,0.000000,0.048389,-0.147032,0.162479
0.240549,0.257565,0.000000,0.000000,0.048387,-0.152753,0.181931
0.240581,0.257598,0.000000,0.000000,0.048409,-0.147032,0.183933
0.240575,0.257591,0.000000,0.000000,0.048409,-0.147032,0.199094
0.240578,0.257594,0.000000,0.000000,0.048401,-0.126722,0.199094
0.240575,0.257592,0.000000,0.000000,0.048418,-0.152753,0.164767
0.240613,0.257630,0.000000,0.000000,0.048466,-0.126722,0.164767
0.240631,0.257648,0.000000,0.000000,0.048476,-0.132443,0.164767
0.240643,0.257659,0.000000,0.000000,0.048477,-0.152753,0.199094
0.240646,0.257663,0.000000,0.000000,0.048488,-0.147032,0.218260
0.240640,0.257656,0.000000,0.000000,0.048484,-0.142169,0.179642
0.240649,0.257713,0.000000,0.000000,0.048484,-0.121573,0.199094
0.240646,0.257710,0.000000,0.000000,0.048507,-0.152753,0.183933
0.240706,0.257770,0.000000,0.000000,0.048540,-0.121573,0.179642
0.240675,0.257740,0.000000,0.000000,0.048528,-0.147032,0.181931
0.240656,0.257721,0.000000,0.000000,0.048498,-0.173349,0.162479
0.240668,0.257732,0.000000,0.000000,0.048524,-0.126722,0.181931
0.240697,0.257761,0.000000,0.000000,0.048548,-0.111847,0.181931
0.240691,0.257755,0.000000,0.000000,0.048530,-0.132443,0.181931
0.240718,0.257782,0.000000,0.000000,0.048554,-0.106412,0.164767
0.240715,0.257779,0.000000,0.000000,0.048552,-0.132443,0.164767
0.240741,0.257805,0.000000,0.000000,0.048564,-0.167628,0.199094
0.240773,0.257837,0.000000,0.000000,0.048630,-0.167628,0.179642
0.240806,0.257870,0.000000,0.000000,0.048640,-0.152753,0.199094
0.240814,0.257878,0.000000,0.000000,0.048656,-0.173349,0.179642
0.240816,0.257880,0.000000,0.000000,0.048664,-0.126722,0.181931
0.240823,0.257887,0.000000,0.000000,0.048661,-0.152753,0.179642
0.240843,0.257907,0.000000,0.000000,0.048694,-0.147032,0.177640
0.240866,0.257930,0.000000,0.000000,0.048712,-0.126722,0.183933
0.240865,0.257929,0.000000,0.000000,0.048705,-0.126722,0.183933
0.240888,0.257904,0.000000,0.000000,0.048732,-0.152753,0.181931
0.240877,0.257893,0.000000,0.000000,0.048703,-0.147032,0.181931
0.240876,0.257892,0.000000,0.000000,0.048707,-0.126722,0.196805
0.240889,0.257905,0.000000,0.000000,0.048737,-0.142169,0.179642
0.240908,0.257924,0.000000,0.000000,0.048746,-0.142169,0.183933
0.240906,0.257922,0.000000,0.000000,0.048752,-0.121573,0.181931
0.240937,0.257953,0.000000,0.000000,0.048797,-0.126722,0.215971
0.240948,0.257965,0.000000,0.000000,0.048791,-0.147032,0.199094
0.240939,0.257907,0.000000,0.000000,0.048784,-0.142169,0.199094
0.240934,0.257903,0.000000,0.000000,0.048787,-0.147032,0.179642
0.240930,0.257899,0.000000,0.000000,0.048766,-0.152753,0.181931
0.240952,0.257872,0.000000,0.000000,0.048800,-0.152753,0.199094
0.240979,0.257900,0.000000,0.000000,0.048816,-0.132443,0.181931
0.240973,0.257846,0.000000,0.000000,0.048825,-0.152753,0.181931
0.241050,0.257826,0.000000,0.000000,0.048900,-0.147032,0.131299
0.241167,0.257752,0.000000,0.000000,0.049028,-0.126722,0.177354
0.241427,0.257532,0.000000,0.000000,0.049298,-0.167628,0.184219
0.241745,0.257227,0.000000,0.000384,0.049595,-0.167628,0.198808
0.241837,0.256744,0.000000,0.000000,0.049698,-0.142169,0.196233
0.242287,0.256091,0.000000,0.000000,0.050245,-0.142169,0.181931
0.242306,0.255582,0.000000,-0.000960,0.050194,-0.147032,0.181931
0.242316,0.254826,0.000000,0.000000,0.050300,-0.147032,0.165053
0.243095,0.254263,0.000000,0.000000,0.051157,-0.147032,0.201382
0.244079,0.253713,0.000000,0.000384,0.052124,-0.193659,0.215113
0.244237,0.252817,0.000000,0.000000,0.052231,-0.167628,0.148462
0.244319,0.251795,0.000000,0.000000,0.052302,-0.147032,0.162479
0.244629,0.250955,0.000000,-0.000960,0.052705,-0.147032,0.162765
0.244630,0.250477,0.000000,0.000384,0.052724,-0.147032,0.162479
0.245105,0.250185,0.000000,-0.000576,0.053255,-0.167628,0.148462
0.245582,0.249895,0.000000,0.000000,0.053687,-0.173349,0.182217
0.245868,0.249510,0.000000,0.000000,0.053980,-0.167628,0.198808
0.246230,0.249009,0.000000,0.000000,0.054305,-0.142169,0.182217
0.246073,0.248708,0.000000,0.000960,0.054149,-0.138164,0.198808
0.245993,0.248628,0.000000,0.000000,0.054073,-0.147318,0.145602
0.246058,0.248549,0.000000,0.000000,0.054150,-0.167914,0.145602
0.246366,0.248857,0.000000,0.000000,0.054491,-0.167914,0.179356
0.246682,0.249173,0.000000,0.000000,0.054782,-0.162193,0.198808
0.246789,0.249280,0.000000,0.000000,0.054873,-0.167914,0.165339
0.246829,0.249464,0.000000,0.000000,0.054927,-0.167914,0.165053
0.246833,0.249420,0.000000,0.000000,0.054918,-0.173635,0.179356
0.246739,0.249326,0.000000,0.000000,0.054815,-0.153039,0.162479
0.246757,0.249344,0.000000,0.000000,0.054840,-0.147318,0.165053
0.246831,0.249418,0.000000,0.000000,0.054931,-0.167914,0.162479
0.246959,0.249547,0.000000,0.000000,0.055070,-0.147318,0.162479
0.247125,0.249712,0.000000,0.000000,0.055221,-0.147318,0.181931
0.247196,0.249783,0.000000,0.000000,0.055260,-0.193945,0.181931
0.247185,0.249772,0.000000,0.000000,0.055271,-0.147318,0.179356
0.247151,0.249739,0.000000,0.000000,0.055230,-0.173635,0.165053
0.247156,0.249695,0.000000,0.000000,0.055235,-0.188224,0.181931
0.247085,0.249576,0.000000,0.000000,0.055167,-0.162479,0.165053
0.247220,0.249711,0.000000,0.000000,0.055311,-0.167914,0.145602
0.247307,0.249798,0.000000,0.000000,0.055392,-0.167914,0.179356
0.247426,0.249917,0.000000,0.000000,0.055512,-0.153039,0.179356
0.247500,0.249991,0.000000,0.000000,0.055585,-0.167914,0.148462
0.247536,0.250027,0.000000,0.000000,0.055618,-0.141883,0.165053
0.247519,0.250010,0.000000,0.000000,0.055594,-0.162479,0.148462
0.247469,0.249960,0.000000,0.000000,0.055557,-0.167914,0.167628
0.247495,0.249986,0.000000,0.000000,0.055585,-0.188224,0.148462
0.247551,0.250042,0.000000,0.000000,0.055633,-0.147318,0.165053
0.247657,0.250148,0.000000,0.000000,0.055740,-0.167914,0.179356
0.247681,0.250172,0.000000,0.000000,0.055770,-0.167914,0.165053
0.247622,0.250113,0.000000,0.000000,0.055706,-0.167914,0.181931
0.247558,0.250049,0.000000,0.000000,0.055620,-0.147318,0.165053
0.247534,0.250025,0.000000,0.000000,0.055612,-0.147318,0.162479
0.247537,0.250028,0.000000,0.000000,0.055601,-0.147318,0.162479
0.247579,0.250070,0.000000,0.000000,0.055662,-0.141883,0.165053
0.247674,0.250165,0.000000,0.000000,0.055758,-0.167914,0.179356
0.247733,0.250224,0.000000,0.000000,0.055828,-0.193945,0.159904
0.247789,0.250280,0.000000,0.000000,0.055878,-0.167914,0.162479
0.247783,0.250274,0.000000,0.000000,0.055863,-0.167914,0.162479
0.247743,0.250234,0.000000,0.000000,0.055826,-0.147318,0.162479
0.247718,0.250209,0.000000,0.000000,0.055793,-0.147318,0.181931
0.247711,0.250202,0.000000,0.000000,0.055776,-0.162479,0.165053
0.247705,0.250196,0.000000,0.000000,0.055770,-0.162479,0.179356
0.247746,0.250237,0.000000,0.000000,0.055823,-0.167914,0.198808
0.247754,0.250245,0.000000,0.000000,0.055844,-0.167914,0.179356
0.247726,0.250217,0.000000,0.000000,0.055808,-0.147318,0.165053
0.247654,0.250145,0.000000,0.000000,0.055725,-0.147318,0.165053
0.247616,0.250107,0.000000,0.000000,0.055691,-0.173635,0.218832
0.247633,0.250124,0.000000,0.000000,0.055704,-0.167914,0.179356
0.247678,0.250169,0.000000,0.000000,0.055759,-0.203385,0.167628
0.247746,0.250237,0.000000,0.000000,0.055816,-0.167914,0.061788
0.247789,0.250280,0.000000,0.000000,0.055877,-0.147318,0.162479
0.247799,0.250290,0.000000,0.000000,0.055891,-0.167914,0.181931
0.247799,0.250290,0.000000,0.000000,0.055866,-0.153039,0.148462
0.247767,0.250258,0.000000,0.000000,0.055850,-0.147318,0.162479
0.247730,0.250221,0.000000,0.000000,0.055823,-0.167914,0.165053
0.247744,0.250235,0.000000,0.000000,0.055829,-0.141883,0.179356
0.247774,0.250265,0.000000,0.000000,0.055861,-0.167914,0.131871
0.247808,0.250299,0.000000,0.000000,0.055890,-0.147318,0.181931
0.247814,0.250305,0.000000,0.000000,0.055900,-0.153039,0.162479
0.247799,0.250290,0.000000,0.000000,0.055874,-0.167914,0.162479
0.247748,0.250239,0.000000,0.000000,0.055822,-0.147318,0.179356
0.247746,0.250237,0.000000,0.000000,0.055834,-0.173635,0.162479
0.247784,0.250275,0.000000,0.000000,0.055867,-0.167914,0.179356
0.247817,0.250308,0.000000,0.000000,0.055874,-0.167914,0.179356
0.247826,0.250317,0.000000,0.000000,0.055916,-0.173635,0.162479
0.247901,0.250392,0.000000,0.000000,0.055982,-0.162479,0.145602
0.247921,0.250412,0.000000,0.000000,0.056003,-0.141883,0.162479
0.247939,0.250430,0.000000,0.000000,0.056008,-0.147318,0.198808
0.247914,0.250405,0.000000,0.000000,0.056003,-0.153039,0.165053
0.247915,0.250406,0.000000,0.000000,0.055993,-0.153039,0.162479
0.247905,0.250396,0.000000,0.000000,0.055984,-0.167914,0.165053
0.247949,0.250440,0.000000,0.000000,0.056038,-0.167914,0.162479
0.247963,0.250454,0.000000,0.000000,0.056018,-0.182789,0.162479
0.247924,0.250415,0.000000,0.000000,0.056014,-0.162479,0.162479
0.247895,0.250386,0.000000,0.000000,0.055970,-0.167914,0.198808
0.247868,0.250359,0.000000,0.000000,0.055930,-0.147318,0.145602
0.247867,0.250358,0.000000,0.000000,0.055943,-0.147318,0.198808
0.247901,0.250392,0.000000,0.000000,0.055991,-0.167914,0.145602
0.247925,0.250416,0.000000,0.000000,0.056012,-0.173635,0.165053
0.247910,0.250401,0.000000,0.000000,0.056004,-0.173635,0.179356
0.247959,0.250450,0.000000,0.000000,0.056033,-0.147318,0.198808
0.247969,0.250460,0.000000,0.000000,0.056046,-0.167914,0.179356
0.247943,0.250434,0.000000,0.000000,0.056013,-0.188224,0.165053
0.247928,0.250419,0.000000,0.000000,0.056006,-0.153039,0.179356
0.247962,0.250453,0.000000,0.000000,0.056038,-0.167914,0.167628
0.247957,0.250448,0.000000,0.000000,0.056038,-0.167914,0.181931
0.247934,0.250425,0.000000,0.000000,0.056006,-0.162479,0.162479
0.247935,0.250426,0.000000,0.000000,0.056026,-0.153039,0.179356
0.247952,0.250443,0.000000,0.000000,0.056045,-0.136162,0.196233
0.247962,0.250453,0.000000,0.000000,0.056038,-0.167914,0.162479
0.247961,0.250452,0.000000,0.000000,0.056026,-0.167914,0.148462
0.247970,0.250461,0.000000,0.000000,0.056049,-0.167914,0.145602
0.248015,0.250506,0.000000,0.000000,0.056093,-0.167914,0.165053
0.248056,0.250547,0.000000,0.000000,0.056135,-0.188224,0.179356
0.248058,0.250549,0.000000,0.000000,0.056143,-0.147318,0.162479
0.248069,0.250560,0.000000,0.000000,0.056148,-0.147318,0.198808
0.248084,0.250575,0.000000,0.000000,0.056155,-0.167914,0.196233
0.248049,0.250540,0.000000,0.000000,0.056137,-0.167914,0.162479
0.248072,0.250563,0.000000,0.000000,0.056150,-0.182789,0.143027
0.248021,0.250512,0.000000,0.000000,0.056102,-0.167914,0.176782
0.248014,0.250505,0.000000,0.000000,0.056092,-0.153039,0.165053
0.248015,0.250506,0.000000,0.000000,0.056098,-0.173635,0.179356
0.247982,0.250473,0.000000,0.000000,0.056076,-0.167914,0.184505
0.247980,0.250471,0.000000,0.000000,0.056069,-0.167914,0.196233
0.247992,0.250483,0.000000,0.000000,0.056084,-0.147318,0.181931
0.248001,0.250492,0.000000,0.000000,0.056079,-0.167914,0.165053
0.247990,0.250481,0.000000,0.000000,0.056069,-0.167914,0.162479
0.248018,0.250509,0.000000,0.000000,0.056106,-0.147318,0.181931
0.248017,0.250508,0.000000,0.000000,0.056099,-0.147318,0.162479
0.248051,0.250542,0.000000,0.000000,0.056128,-0.188224,0.165053
0.248016,0.250507,0.000000,0.000000,0.056091,-0.167914,0.181931
0.248032,0.250523,0.000000,0.000000,0.056120,-0.147318,0.165053
0.248040,0.250531,0.000000,0.000000,0.056127,-0.167914,0.162479
0.248036,0.250527,0.000000,0.000000,0.056123,-0.188224,0.179356
0.248038,0.250529,0.000000,0.000000,0.056113,-0.127008,0.179356
0.248026,0.250517,0.000000,0.000000,0.056087,-0.147318,0.165053
0.248012,0.250503,0.000000,0.000000,0.056076,-0.153039,0.148462
0.248028,0.250519,0.000000,0.000000,0.056093,-0.193945,0.213111
0.247979,0.250470,0.000000,0.000000,0.056070,-0.162479,0.181931
0.247997,0.250488,0.000000,0.000000,0.056076,-0.147318,0.162479
0.248030,0.250521,0.000000,0.000000,0.056105,-0.167914,0.165053
0.248020,0.250511,0.000000,0.000000,0.056091,-0.147318,0.162479
0.247998,0.250489,0.000000,0.000000,0.056083,-0.141883,0.162479
0.248030,0.250521,0.000000,0.000000,0.056109,-0.173635,0.181931
0.247986,0.250477,0.000000,0.000000,0.056073,-0.147318,0.181931
0.247993,0.250484,0.000000,0.000000,0.056074,-0.167914,0.162479
0.247991,0.250482,0.000000,0.000000,0.056083,-0.167914,0.181931
0.248015,0.250554,0.000000,0.000000,0.056096,-0.162479,0.179356
0.248026,0.250565,0.000000,0.000000,0.056118,-0.147318,0.181931
0.248032,0.250571,0.000000,0.000000,0.056107,-0.162479,0.162479
0.248031,0.250571,0.000000,0.000000,0.056102,-0.141883,0.148462
0.248011,0.250550,0.000000,0.000000,0.056070,-0.167914,0.162479
0.247988,0.250528,0.000000,0.000000,0.056061,-0.147318,0.165053
0.247992,0.250531,0.000000,0.000000,0.056079,-0.173635,0.165053
0.247990,0.250529,0.022727,0.000000,0.056059,-0.147318,0.159904
0.248022,0.250561,0.050000,-0.000576,0.056113,-0.127008,0.145888
0.248040,0.250579,0.050000,-0.000960,0.056120,-0.127008,0.177640
0.248040,0.250579,0.083333,-0.000576,0.056115,-0.132443,0.109273
0.248066,0.250654,0.124242,-0.000576,0.056146,-0.091537,0.107843
0.248107,0.250742,0.169697,-0.000960,0.056181,-0.076949,0.106412
0.248151,0.250786,0.169697,-0.001344,0.056244,-0.076663,0.071228
0.248258,0.250941,0.190909,-0.002496,0.056343,-0.032610,0.035185
0.248483,0.251166,0.274242,-0.005760,0.056606,-0.015733,0.016591
0.249017,0.251651,0.274242,-0.009599,0.057048,-0.000286,0.016591
0.249457,0.252092,0.328788,-0.005184,0.057402,0.040620,-0.041478
0.249761,0.252539,0.393939,-0.008447,0.057739,0.061216,-0.037187
0.250398,0.253417,0.468182,-0.011711,0.058310,0.066365,-0.045483
0.251359,0.254761,0.468182,-0.006720,0.059170,0.103838,-0.087819
0.252421,0.256015,0.546970,-0.016511,0.059791,0.075804,-0.172491
0.253681,0.257370,0.616667,-0.023614,0.060516,0.118427,-0.205101
0.255036,0.258438,0.616667,-0.044541,0.061105,0.217687,-0.238855
0.259155,0.261023,0.666667,-0.047037,0.062250,0.156186,-0.149893
0.264108,0.263675,0.700000,-0.071035,0.062838,0.158188,-0.154755
0.269541,0.268532,0.721212,-0.076219,0.062403,0.102121,-0.106412
0.275728,0.273426,0.721212,-0.101177,0.061226,0.155900,-0.186508
0.282963,0.281331,0.736364,-0.098873,0.061202,0.112133,-0.114422
0.290892,0.290747,0.750000,-0.100409,0.061836,0.068653,-0.044624
0.298386,0.299247,0.750000,-0.100793,0.062049,0.031180,-0.051490
0.306725,0.307634,0.765152,-0.097529,0.063053,0.028319,0.014875
0.314918,0.316498,0.780303,-0.098681,0.065190,-0.013445,0.034327
