z,ds,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0.667765,-0.021346,-0.000515,-0.001416,0.102354,0.104038,0.109924,0.113227
0.667763,-0.021342,-0.000537,-0.001405,0.102360,0.104033,0.109924,0.113227
0.667768,-0.021365,-0.000519,-0.001413,0.102355,0.104036,0.109924,0.113227
0.667793,-0.021375,-0.000546,-0.001405,0.102359,0.104032,0.109924,0.113227
0.667769,-0.021361,-0.000596,-0.001391,0.102366,0.104025,0.109924,0.113227
0.667745,-0.021370,-0.000573,-0.001391,0.102367,0.104025,0.109924,0.113227
0.667711,-0.021359,-0.000592,-0.001392,0.102366,0.104025,0.109924,0.113227
0.667747,-0.021415,-0.000566,-0.001397,0.102362,0.104026,0.109924,0.113227
0.667716,-0.021402,-0.000577,-0.001396,0.102363,0.104026,0.109924,0.113227
0.667701,-0.021385,-0.000575,-0.001393,0.102365,0.104025,0.109924,0.113227
0.667724,-0.021404,-0.000584,-0.001396,0.102363,0.104026,0.109924,0.113227
0.667735,-0.021407,-0.000611,-0.001388,0.102367,0.104022,0.109924,0.113227
0.667777,-0.021423,-0.000626,-0.001383,0.102369,0.104019,0.109924,0.113227
0.667774,-0.021445,-0.000640,-0.001376,0.102372,0.104015,0.109924,0.113227
0.667755,-0.021467,-0.000644,-0.001376,0.102371,0.104014,0.109924,0.113227
0.667796,-0.021482,-0.000688,-0.001367,0.102376,0.104009,0.109924,0.113227
0.667739,-0.021480,-0.000697,-0.001356,0.102381,0.104004,0.109924,0.113227
0.667740,-0.021484,-0.000664,-0.001369,0.102375,0.104010,0.109924,0.113227
0.667738,-0.021489,-0.000683,-0.001367,0.102375,0.104009,0.109924,0.113227
0.667698,-0.021494,-0.000705,-0.001357,0.102381,0.104004,0.109924,0.113227
0.667697,-0.021430,-0.000701,-0.001358,0.102381,0.104006,0.109924,0.113227
0.667672,-0.021413,-0.000707,-0.001361,0.102381,0.104008,0.109924,0.113227
0.667690,-0.021415,-0.000697,-0.001361,0.102380,0.104008,0.109924,0.113227
0.667697,-0.021425,-0.000700,-0.001359,0.102381,0.104006,0.109924,0.113227
0.667684,-0.021444,-0.000711,-0.001359,0.102381,0.104007,0.109924,0.113227
0.667673,-0.021443,-0.000719,-0.001354,0.102384,0.104003,0.109924,0.113227
0.667715,-0.021451,-0.000715,-0.001356,0.102382,0.104004,0.109924,0.113227
0.667725,-0.021442,-0.000677,-0.001370,0.102375,0.104012,0.109924,0.113227
0.667717,-0.021431,-0.000677,-0.001365,0.102378,0.104009,0.109924,0.113227
0.667721,-0.021421,-0.000680,-0.001368,0.102377,0.104012,0.109924,0.113227
0.667700,-0.021419,-0.000704,-0.001365,0.102378,0.104010,0.109924,0.113227
0.667710,-0.021473,-0.000711,-0.001352,0.102384,0.104002,0.109924,0.113227
0.667646,-0.021486,-0.000757,-0.001346,0.102387,0.103998,0.109924,0.113227
0.667623,-0.021452,-0.000758,-0.001341,0.102390,0.103997,0.109924,0.113227
0.667671,-0.021438,-0.000793,-0.001333,0.102395,0.103993,0.109924,0.113227
0.667629,-0.021453,-0.000795,-0.001332,0.102394,0.103992,0.109924,0.113227
0.667608,-0.021431,-0.000803,-0.001336,0.102392,0.103994,0.109924,0.113227
0.667584,-0.021385,-0.000776,-0.001333,0.102396,0.103994,0.109924,0.113227
0.667605,-0.021404,-0.000799,-0.001336,0.102394,0.103995,0.109924,0.113227
0.667628,-0.021406,-0.000808,-0.001334,0.102395,0.103995,0.109924,0.113227
0.667622,-0.021369,-0.000809,-0.001329,0.102398,0.103993,0.109924,0.113227
0.667638,-0.021410,-0.000835,-0.001315,0.102404,0.103985,0.109924,0.113227
0.667607,-0.021424,-0.000804,-0.001326,0.102398,0.103990,0.109924,0.113227
0.667690,-0.021416,-0.000765,-0.001340,0.102391,0.103997,0.109924,0.113227
0.667668,-0.021468,-0.000738,-0.001349,0.102385,0.104000,0.109924,0.113227
0.667671,-0.021472,-0.000751,-0.001345,0.102388,0.103998,0.109924,0.113227
0.667660,-0.021468,-0.000746,-0.001349,0.102385,0.104000,0.109924,0.113227
0.667624,-0.021467,-0.000741,-0.001349,0.102385,0.104000,0.109924,0.113227
0.667613,-0.021432,-0.000754,-0.001346,0.102388,0.103999,0.109924,0.113227
0.667643,-0.021444,-0.000717,-0.001355,0.102383,0.104004,0.109924,0.113227
0.667634,-0.021411,-0.000658,-0.001371,0.102375,0.104013,0.109924,0.113227
0.667626,-0.021421,-0.000638,-0.001377,0.102372,0.104016,0.109924,0.113227
0.667625,-0.021402,-0.000625,-0.001380,0.102371,0.104018,0.109924,0.113227
0.667640,-0.021392,-0.000654,-0.001373,0.102375,0.104015,0.109924,0.113227
0.667633,-0.021395,-0.000698,-0.001364,0.102379,0.104010,0.109924,0.113227
0.667655,-0.021394,-0.000686,-0.001365,0.102379,0.104011,0.109924,0.113227
0.667616,-0.021403,-0.000682,-0.001364,0.102379,0.104010,0.109924,0.113227
0.667645,-0.021395,-0.000680,-0.001362,0.102381,0.104009,0.109924,0.113227
0.667658,-0.021401,-0.000627,-0.001374,0.102374,0.104015,0.109924,0.113227
0.667660,-0.021440,-0.000632,-0.001379,0.102370,0.104017,0.109924,0.113227
0.667652,-0.021461,-0.000619,-0.001385,0.102367,0.104019,0.109924,0.113227
0.667706,-0.021458,-0.000599,-0.001389,0.102365,0.104021,0.109924,0.113227
0.667687,-0.021425,-0.000598,-0.001393,0.102364,0.104024,0.109924,0.113227
0.667660,-0.021403,-0.000638,-0.001380,0.102371,0.104018,0.109924,0.113227
0.667668,-0.021401,-0.000626,-0.001383,0.102369,0.104020,0.109924,0.113227
0.667671,-0.021419,-0.000636,-0.001377,0.102372,0.104016,0.109924,0.113227
0.667683,-0.021404,-0.000641,-0.001378,0.102372,0.104017,0.109924,0.113227
0.667675,-0.021430,-0.000662,-0.001371,0.102375,0.104012,0.109924,0.113227
0.667706,-0.021471,-0.000672,-0.001369,0.102375,0.104011,0.109924,0.113227
0.667664,-0.021462,-0.000708,-0.001360,0.102380,0.104006,0.109924,0.113227
0.667627,-0.021481,-0.000697,-0.001365,0.102377,0.104008,0.109924,0.113227
0.667593,-0.021481,-0.000682,-0.001361,0.102379,0.104006,0.109924,0.113227
0.667568,-0.021506,-0.000739,-0.001350,0.102384,0.104000,0.109924,0.113227
0.667590,-0.021508,-0.000724,-0.001351,0.102384,0.104000,0.109924,0.113227
0.667595,-0.021490,-0.000757,-0.001344,0.102387,0.103997,0.109924,0.113227
0.667636,-0.021475,-0.000715,-0.001357,0.102381,0.104005,0.109924,0.113227
0.667601,-0.021466,-0.000735,-0.001352,0.102384,0.104002,0.109924,0.113227
0.667581,-0.021500,-0.000733,-0.001354,0.102381,0.104002,0.109924,0.113227
0.667570,-0.021509,-0.000697,-0.001358,0.102379,0.104004,0.109924,0.113227
0.667535,-0.021512,-0.000731,-0.001352,0.102382,0.104001,0.109924,0.113227
0.667562,-0.021523,-0.000752,-0.001345,0.102386,0.103997,0.109924,0.113227
0.667576,-0.021520,-0.000797,-0.001330,0.102394,0.103989,0.109924,0.113227
0.667560,-0.021509,-0.000789,-0.001333,0.102393,0.103991,0.109924,0.113227
0.667558,-0.021504,-0.000810,-0.001329,0.102395,0.103989,0.109924,0.113227
0.667501,-0.021530,-0.000812,-0.001330,0.102393,0.103989,0.109924,0.113227
0.667532,-0.021550,-0.000826,-0.001328,0.102394,0.103987,0.109924,0.113227
0.667537,-0.021549,-0.000826,-0.001327,0.102395,0.103987,0.109924,0.113227
0.667544,-0.021569,-0.000836,-0.001322,0.102397,0.103984,0.109924,0.113227
0.667552,-0.021527,-0.000847,-0.001318,0.102400,0.103982,0.109924,0.113227
0.667589,-0.021482,-0.000835,-0.001320,0.102400,0.103985,0.109924,0.113227
0.667575,-0.021466,-0.000854,-0.001314,0.102403,0.103982,0.109924,0.113227
0.667595,-0.021495,-0.000891,-0.001306,0.102407,0.103977,0.109924,0.113227
0.667608,-0.021481,-0.000853,-0.001316,0.102402,0.103983,0.109924,0.113227
0.667580,-0.021468,-0.000804,-0.001330,0.102395,0.103991,0.109924,0.113227
0.667589,-0.021463,-0.000787,-0.001329,0.102395,0.103990,0.109924,0.113227
0.667545,-0.021459,-0.000776,-0.001338,0.102391,0.103994,0.109924,0.113227
0.667535,-0.021461,-0.000815,-0.001325,0.102398,0.103988,0.109924,0.113227
0.667515,-0.021450,-0.000830,-0.001322,0.102400,0.103987,0.109924,0.113227
0.667473,-0.021466,-0.000874,-0.001314,0.102403,0.103982,0.109924,0.113227
0.667441,-0.021466,-0.000897,-0.001307,0.102407,0.103979,0.109924,0.113227
0.667427,-0.021485,-0.000872,-0.001312,0.102404,0.103981,0.109924,0.113227
0.667416,-0.021478,-0.000883,-0.001306,0.102407,0.103978,0.109924,0.113227
0.667457,-0.021484,-0.000889,-0.001309,0.102406,0.103979,0.109924,0.113227
0.667442,-0.021450,-0.000876,-0.001312,0.102404,0.103981,0.109924,0.113227
0.667448,-0.021450,-0.000854,-0.001315,0.102403,0.103983,0.109924,0.113227
0.667466,-0.021471,-0.000861,-0.001313,0.102404,0.103982,0.109924,0.113227
0.667476,-0.021445,-0.000924,-0.001305,0.102408,0.103977,0.109924,0.113227
0.667439,-0.021473,-0.000945,-0.001293,0.102414,0.103971,0.109924,0.113227
0.667435,-0.021462,-0.000889,-0.001302,0.102409,0.103976,0.109924,0.113227
0.667459,-0.021461,-0.000928,-0.001294,0.102414,0.103972,0.109924,0.113227
0.667442,-0.021494,-0.000925,-0.001292,0.102414,0.103970,0.109924,0.113227
0.667428,-0.021477,-0.000915,-0.001303,0.102409,0.103976,0.109924,0.113227
0.667373,-0.021461,-0.000959,-0.001289,0.102416,0.103969,0.109924,0.113227
0.667374,-0.021486,-0.000912,-0.001298,0.102411,0.103973,0.109924,0.113227
0.667347,-0.021503,-0.000918,-0.001299,0.102410,0.103973,0.109924,0.113227
0.667364,-0.021482,-0.000930,-0.001298,0.102411,0.103974,0.109924,0.113227
0.667381,-0.021469,-0.000910,-0.001303,0.102409,0.103977,0.109924,0.113227
