z,ds,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0.051946,0.019668,0.017588,0.071049,0.246006,0.170631,0.245811,0.172680
0.051658,0.020426,0.017784,0.070999,0.246004,0.170683,0.245811,0.172680
0.051294,0.021187,0.017841,0.070994,0.246024,0.170714,0.245811,0.172670
0.050851,0.021937,0.017891,0.070986,0.246043,0.170745,0.245811,0.172670
0.050480,0.022735,0.017972,0.070963,0.246057,0.170785,0.245811,0.172670
0.050232,0.023542,0.018059,0.070941,0.246070,0.170825,0.245811,0.172670
0.050121,0.024442,0.018004,0.070955,0.246104,0.170849,0.245811,0.172670
0.050130,0.025369,0.017945,0.070978,0.246145,0.170871,0.245811,0.172670
0.050212,0.026350,0.017931,0.070990,0.246182,0.170899,0.245811,0.172670
0.050301,0.027349,0.017962,0.070985,0.246211,0.170939,0.245811,0.172670
0.050314,0.028363,0.017885,0.071006,0.246255,0.170965,0.245811,0.172670
0.050120,0.029357,0.017765,0.071050,0.246309,0.170979,0.245811,0.172670
0.049861,0.030337,0.017660,0.071080,0.246355,0.171000,0.245811,0.172670
0.049639,0.031255,0.017584,0.071114,0.246403,0.171016,0.245811,0.172670
0.049383,0.032354,0.017487,0.071152,0.246458,0.171036,0.245811,0.172670
0.049090,0.033723,0.017450,0.071160,0.246507,0.171084,0.245811,0.172670
0.048903,0.034995,0.017322,0.071203,0.246572,0.171111,0.245811,0.172670
0.048722,0.036298,0.017339,0.071214,0.246621,0.171153,0.245811,0.172670
0.048412,0.037720,0.017662,0.071125,0.246626,0.171253,0.245811,0.172670
0.048070,0.039122,0.017663,0.071112,0.246668,0.171314,0.245811,0.172670
0.047653,0.040549,0.017435,0.071198,0.246761,0.171325,0.245811,0.172660
0.047165,0.042042,0.017549,0.071181,0.246805,0.171393,0.245811,0.172660
0.046688,0.043434,0.017621,0.071152,0.246841,0.171463,0.245811,0.172660
0.046140,0.044669,0.017593,0.071169,0.246895,0.171504,0.245811,0.172660
0.045454,0.045872,0.017571,0.071178,0.246944,0.171548,0.245811,0.172660
0.044555,0.046885,0.017554,0.071202,0.246994,0.171579,0.245811,0.172650
