z,ds,Channel 3,Channel 4,Channel 5,Channel 6
1.022785,1.167794,0.000000,0.011982,-0.002002,0.020310
1.022765,1.167774,0.000000,0.011961,-0.002002,-0.000572
1.022777,1.167786,0.000000,0.011975,0.000572,-0.000572
1.022761,1.167770,0.000000,0.011970,-0.002002,-0.010584
1.022757,1.167767,0.000000,0.011956,-0.002002,-0.000572
1.022750,1.167759,0.000000,0.011961,-0.004863,-0.021740
1.022751,1.167761,0.000000,0.011983,-0.002002,-0.010584
1.022759,1.167769,0.000000,0.011966,-0.002002,-0.010584
1.022703,1.167713,0.000000,0.011918,-0.002002,-0.000572
1.022702,1.167712,0.000000,0.011918,0.014875,0.030894
1.022669,1.167679,0.000000,0.011876,-0.002002,-0.000572
1.022669,1.167679,0.000000,0.011875,-0.018880,0.020310
1.022683,1.167693,0.000000,0.011869,-0.002002,-0.000572
1.022660,1.167670,0.000000,0.011863,0.012014,-0.000572
1.022632,1.167642,0.000000,0.011841,-0.002002,0.021168
1.022627,1.167636,0.000000,0.011823,0.014875,0.020310
1.022618,1.167628,0.000000,0.011828,-0.002002,-0.000572
1.022640,1.167650,0.000000,0.011856,-0.018880,-0.010584
1.022661,1.167671,0.000000,0.011876,-0.021454,-0.010584
1.022655,1.167665,0.000000,0.011870,-0.004863,-0.000572
1.022639,1.167649,0.000000,0.011849,0.000572,0.041478
1.022657,1.167667,0.000000,0.011851,-0.002002,0.020310
1.022627,1.167636,0.000000,0.011858,-0.002002,-0.021740
1.022633,1.167643,0.000000,0.011837,0.009726,-0.021740
1.022643,1.167653,0.000000,0.011846,-0.018880,0.009726
1.022665,1.167675,0.000000,0.011878,0.014875,-0.021740
1.022693,1.167703,0.000000,0.011912,-0.002002,-0.000572
1.022704,1.167714,0.000000,0.011918,-0.002002,-0.000572
1.022742,1.167752,0.000000,0.011937,-0.002002,-0.000572
1.022720,1.167730,0.000000,0.011933,-0.002002,-0.000572
1.022712,1.167722,0.000000,0.011931,-0.007151,-0.021740
1.022693,1.167702,0.000000,0.011917,-0.007151,-0.000572
1.022713,1.167723,0.000000,0.011938,0.012014,-0.010584
1.022702,1.167711,0.000000,0.011918,0.014875,-0.000572
1.022745,1.167754,0.000000,0.011948,-0.002002,-0.000572
1.022721,1.167730,0.000000,0.011924,-0.016305,-0.021740
1.022745,1.167755,0.000000,0.011940,-0.002002,-0.010584
1.022704,1.167714,0.000000,0.011890,-0.002002,-0.000572
1.022711,1.167721,0.000000,0.011915,-0.016305,0.009726
1.022717,1.167727,0.000000,0.011927,-0.004863,-0.010584
1.022714,1.167724,0.000000,0.011929,-0.004863,0.020024
1.022715,1.167724,0.000000,0.011917,-0.002002,-0.000572
1.022724,1.167733,0.000000,0.011924,0.048629,-0.031752
1.022721,1.167731,0.000000,0.011946,-0.021454,-0.000572
1.022761,1.167771,0.000000,0.011959,-0.004863,-0.000572
1.022759,1.167769,0.000000,0.011961,0.012014,-0.010584
1.022717,1.167727,0.000000,0.011914,-0.004863,0.009726
1.022718,1.167728,0.000000,0.011929,-0.004863,0.020310
1.022728,1.167738,0.000000,0.011934,-0.002002,-0.000572
1.022734,1.167743,0.000000,0.011942,0.014875,-0.000572
1.022721,1.167731,0.000000,0.011936,0.017163,-0.000572
1.022725,1.167735,0.000000,0.011926,-0.002002,0.020310
1.022723,1.167732,0.000000,0.011918,-0.002002,0.009726
1.022731,1.167740,0.000000,0.011950,0.012014,-0.000572
1.022727,1.167737,0.000000,0.011941,-0.002002,0.010298
1.022730,1.167739,0.000000,0.011947,-0.018880,-0.000572
1.022708,1.167718,0.000000,0.011898,-0.002002,-0.000572
1.022714,1.167723,0.000000,0.011924,-0.004863,-0.000572
1.022734,1.167744,0.000000,0.011947,-0.004863,0.031466
1.022698,1.167708,0.000000,0.011902,-0.002002,-0.000572
1.022675,1.167685,0.000000,0.011906,-0.002002,-0.010584
1.022689,1.167699,0.000000,0.011907,0.014875,-0.011156
1.022727,1.167737,0.000000,0.011943,0.028892,0.020310
1.022725,1.167735,0.000000,0.011925,-0.002002,-0.010584
1.022737,1.167747,0.000000,0.011927,-0.002002,-0.010584
1.022735,1.167745,0.000000,0.011951,-0.002002,0.020310
1.022686,1.167696,0.000000,0.011889,-0.016305,-0.000572
1.022689,1.167699,0.000000,0.011886,-0.002002,-0.000572
1.022653,1.167662,0.000000,0.011870,-0.002002,-0.010584
1.022665,1.167674,0.000000,0.011885,-0.004863,0.030894
1.022643,1.167653,0.000000,0.011847,-0.002002,0.020310
1.022627,1.167637,0.000000,0.011850,-0.002002,0.020310
1.022681,1.167690,0.000000,0.011897,0.014875,-0.011156
1.022657,1.167667,0.000000,0.011849,0.014875,-0.000572
1.022634,1.167644,0.000000,0.011847,-0.018880,-0.000572
